Station,Date,Hour_UTC,Frequency_Hz,PLV,Hour_Threshold,Passed
KNG,20220101,3,3.0,0.1840657766910604,0.32024774027640734,0
KNG,20220101,3,3.1,0.19238849244592596,0.32024774027640734,0
KNG,20220101,3,3.2,0.13394985007212812,0.32024774027640734,0
KNG,20220101,3,3.3,0.09774868854500757,0.32024774027640734,0
KNG,20220101,3,3.4,0.09287746961144065,0.32024774027640734,0
KNG,20220101,3,3.5,0.16639824712307727,0.32024774027640734,0
KNG,20220101,3,3.6,0.062418847730000844,0.32024774027640734,0
KNG,20220101,3,3.7,0.05653381710410092,0.32024774027640734,0
KNG,20220101,3,3.8,0.05565104919516172,0.32024774027640734,0
KNG,20220101,3,3.9,0.18426768532383772,0.32024774027640734,0
KNG,20220101,3,4.0,0.20026823965434248,0.32024774027640734,0
KNG,20220101,3,4.1,0.2768391347363553,0.32024774027640734,0
KNG,20220101,3,4.2,0.1228629904906998,0.32024774027640734,0
KNG,20220101,3,4.3,0.07324723511095328,0.32024774027640734,0
KNG,20220101,3,4.4,0.07212102172661927,0.32024774027640734,0
KNG,20220101,3,4.5,0.27028289105391506,0.32024774027640734,0
KNG,20220101,3,4.6,0.35957961757103657,0.32024774027640734,1
KNG,20220101,3,4.7,0.320352220653525,0.32024774027640734,1
KNG,20220101,3,4.8,0.23543526061055917,0.32024774027640734,0
KNG,20220101,3,4.9,0.1693253589042056,0.32024774027640734,0
KNG,20220101,3,5.0,0.19530978514952424,0.32024774027640734,0
KNG,20220101,3,5.1,0.1392250425799751,0.32024774027640734,0
KNG,20220101,3,5.2,0.05012676756527963,0.32024774027640734,0
KNG,20220101,3,5.3,0.20724617850380314,0.32024774027640734,0
KNG,20220101,3,5.4,0.2566462133735982,0.32024774027640734,0
KNG,20220101,3,5.5,0.19955692932250002,0.32024774027640734,0
KNG,20220101,3,5.6,0.1259713159083246,0.32024774027640734,0
KNG,20220101,3,5.7,0.1960039333732299,0.32024774027640734,0
KNG,20220101,3,5.8,0.25225771280012255,0.32024774027640734,0
KNG,20220101,3,5.9,0.2737665928062428,0.32024774027640734,0
KNG,20220101,3,6.0,0.12394073985677882,0.32024774027640734,0
KNG,20220101,3,6.1,0.12321600822605447,0.32024774027640734,0
KNG,20220101,3,6.2,0.19073364241169904,0.32024774027640734,0
KNG,20220101,3,6.3,0.08962875809653344,0.32024774027640734,0
KNG,20220101,3,6.4,0.11987634234491502,0.32024774027640734,0
KNG,20220101,3,6.5,0.32517816339817107,0.32024774027640734,1
KNG,20220101,3,6.6,0.2712097188048779,0.32024774027640734,0
KNG,20220101,3,6.7,0.16807621496677613,0.32024774027640734,0
KNG,20220101,3,6.8,0.3175498391810864,0.32024774027640734,0
KNG,20220101,3,6.9,0.24756284671836612,0.32024774027640734,0
KNG,20220101,3,7.0,0.16736197283627435,0.32024774027640734,0
KNG,20220101,3,7.1,0.04055842266578946,0.32024774027640734,0
KNG,20220101,3,7.2,0.07819989213691071,0.32024774027640734,0
KNG,20220101,3,7.3,0.17911538984954406,0.32024774027640734,0
KNG,20220101,3,7.4,0.03734853064025663,0.32024774027640734,0
KNG,20220101,3,7.5,0.13823832522428758,0.32024774027640734,0
KNG,20220101,3,7.6,0.16720974560475468,0.32024774027640734,0
KNG,20220101,3,7.7,0.19851951302419363,0.32024774027640734,0
KNG,20220101,3,7.8,0.2893773064516372,0.32024774027640734,0
KNG,20220101,3,7.9,0.24030830550460888,0.32024774027640734,0
KNG,20220101,3,8.0,0.2115656741887099,0.32024774027640734,0
KNG,20220101,3,8.1,0.22381557813325936,0.32024774027640734,0
KNG,20220101,3,8.2,0.26607468095642894,0.32024774027640734,0
KNG,20220101,3,8.3,0.1765231392977001,0.32024774027640734,0
KNG,20220101,3,8.4,0.18454021696873088,0.32024774027640734,0
KNG,20220101,3,8.5,0.057323683489789154,0.32024774027640734,0
KNG,20220101,3,8.6,0.1656953343494822,0.32024774027640734,0
KNG,20220101,3,8.7,0.11032616824519244,0.32024774027640734,0
KNG,20220101,3,8.8,0.18739710949482774,0.32024774027640734,0
KNG,20220101,3,8.9,0.27120399153625585,0.32024774027640734,0
KNG,20220101,3,9.0,0.2188156854782601,0.32024774027640734,0
KNG,20220101,3,9.1,0.16160691948086253,0.32024774027640734,0
KNG,20220101,3,9.2,0.3559750496234958,0.32024774027640734,1
KNG,20220101,3,9.3,0.36549478558651827,0.32024774027640734,1
KNG,20220101,3,9.4,0.29170171388810595,0.32024774027640734,0
KNG,20220101,3,9.5,0.1705111646980107,0.32024774027640734,0
KNG,20220101,3,9.6,0.04926775421475034,0.32024774027640734,0
KNG,20220101,3,9.7,0.17384014681420742,0.32024774027640734,0
KNG,20220101,3,9.8,0.24618432667867154,0.32024774027640734,0
KNG,20220101,3,9.9,0.360171482698999,0.32024774027640734,1
KNG,20220101,3,10.0,0.3547108778457701,0.32024774027640734,1
KNG,20220101,4,1.0,0.27708989733854616,0.3,0
KNG,20220101,4,1.1,0.09819592902368779,0.3,0
KNG,20220101,4,1.2,0.04803680596027183,0.3,0
KNG,20220101,4,1.3,0.16409906664170745,0.3,0
KNG,20220101,4,1.4,0.14644269558598527,0.3,0
KNG,20220101,4,1.5,0.07013673459652439,0.3,0
KNG,20220101,4,1.6,0.20550563768358762,0.3,0
KNG,20220101,4,1.7,0.33813578926382937,0.3,1
KNG,20220101,4,1.8,0.3175621212632623,0.3,1
KNG,20220101,4,1.9,0.1179409208271913,0.3,0
KNG,20220101,4,2.0,0.2280728583435079,0.3,0
KNG,20220101,4,2.1,0.3403035484666544,0.3,1
KNG,20220101,4,2.2,0.27931118774721614,0.3,0
KNG,20220101,4,2.3,0.13116615207746998,0.3,0
KNG,20220101,4,2.4,0.10563862427810375,0.3,0
KNG,20220101,4,2.5,0.050682150934018365,0.3,0
KNG,20220101,4,2.6,0.08340074543353758,0.3,0
KNG,20220101,4,2.7,0.11131359000461602,0.3,0
KNG,20220101,4,2.8,0.027778298881560876,0.3,0
KNG,20220101,4,2.9,0.1509742781882421,0.3,0
KNG,20220101,4,3.0,0.10911057750035345,0.3,0
KNG,20220101,4,3.1,0.07699553678846187,0.3,0
KNG,20220101,4,3.2,0.11500977171691013,0.3,0
KNG,20220101,4,3.3,0.03997980285831815,0.3,0
KNG,20220101,4,3.4,0.1280746080084213,0.3,0
KNG,20220101,4,3.5,0.18872848635872388,0.3,0
KNG,20220101,4,3.6,0.12445672612045697,0.3,0
KNG,20220101,4,3.7,0.16968210792437916,0.3,0
KNG,20220101,4,3.8,0.21199013367628575,0.3,0
KNG,20220101,4,3.9,0.22910515710987586,0.3,0
KNG,20220101,4,4.0,0.11374933729078457,0.3,0
KNG,20220101,4,4.1,0.08189891940513504,0.3,0
KNG,20220101,4,4.2,0.09180419524766446,0.3,0
KNG,20220101,4,4.3,0.19704193159673108,0.3,0
KNG,20220101,4,4.4,0.0893865727712358,0.3,0
KNG,20220101,4,4.5,0.23422626959936177,0.3,0
KNG,20220101,4,4.6,0.205205161016746,0.3,0
KNG,20220101,4,4.7,0.1828863360751379,0.3,0
KNG,20220101,4,4.8,0.10250920663957433,0.3,0
KNG,20220101,4,4.9,0.2305657671118659,0.3,0
KNG,20220101,4,5.0,0.35400677190496427,0.3,1
KNG,20220101,4,5.1,0.20941144778364573,0.3,0
KNG,20220101,4,5.2,0.2051626501394002,0.3,0
KNG,20220101,4,5.3,0.289826486457102,0.3,0
KNG,20220101,4,5.4,0.15818907875300497,0.3,0
KNG,20220101,4,5.5,0.2258702820317671,0.3,0
KNG,20220101,4,5.6,0.11855994054362311,0.3,0
KNG,20220101,4,5.7,0.22069727458777746,0.3,0
KNG,20220101,4,5.8,0.23731081516399294,0.3,0
KNG,20220101,4,5.9,0.24778901495606284,0.3,0
KNG,20220101,4,6.0,0.10140114690678462,0.3,0
KNG,20220101,4,6.1,0.04219353350451715,0.3,0
KNG,20220101,4,6.2,0.2131083665300887,0.3,0
KNG,20220101,4,6.3,0.09896330914798991,0.3,0
KNG,20220101,4,6.4,0.06865960817041974,0.3,0
KNG,20220101,4,6.5,0.08970986612003966,0.3,0
KNG,20220101,4,6.6,0.09354340072636418,0.3,0
KNG,20220101,4,6.7,0.21340136690646205,0.3,0
KNG,20220101,4,6.8,0.08911551833357884,0.3,0
KNG,20220101,4,6.9,0.2682469090411573,0.3,0
KNG,20220101,4,7.0,0.167006128464248,0.3,0
KNG,20220101,4,7.1,0.22566304559903652,0.3,0
KNG,20220101,4,7.2,0.06834519322995776,0.3,0
KNG,20220101,4,7.3,0.05284928486069947,0.3,0
KNG,20220101,4,7.4,0.11812919102559515,0.3,0
KNG,20220101,4,7.5,0.09998846636564984,0.3,0
KNG,20220101,4,7.6,0.07922755303930824,0.3,0
KNG,20220101,4,7.7,0.24191151600051153,0.3,0
KNG,20220101,4,7.8,0.29558763718167474,0.3,0
KNG,20220101,4,7.9,0.3211019698874694,0.3,1
KNG,20220101,4,8.0,0.16669636687368863,0.3,0
KNG,20220101,4,8.1,0.383501988941015,0.3,1
KNG,20220101,4,8.2,0.29669526314195216,0.3,0
KNG,20220101,4,8.3,0.23008815334591642,0.3,0
KNG,20220101,4,8.4,0.16396648518835302,0.3,0
KNG,20220101,4,8.5,0.14068418852110878,0.3,0
KNG,20220101,4,8.6,0.17734781871627922,0.3,0
KNG,20220101,4,8.7,0.040661363097483985,0.3,0
KNG,20220101,4,8.8,0.08251491868257547,0.3,0
KNG,20220101,4,8.9,0.17783400942799,0.3,0
KNG,20220101,4,9.0,0.2079412605562989,0.3,0
KNG,20220101,4,9.1,0.20718517048490623,0.3,0
KNG,20220101,4,9.2,0.2641552979910789,0.3,0
KNG,20220101,4,9.3,0.06830255296443503,0.3,0
KNG,20220101,4,9.4,0.06884897652688195,0.3,0
KNG,20220101,4,9.5,0.09340967985682509,0.3,0
KNG,20220101,4,9.6,0.10612700203445594,0.3,0
KNG,20220101,4,9.7,0.16132919628257675,0.3,0
KNG,20220101,4,9.8,0.02014429487477863,0.3,0
KNG,20220101,4,9.9,0.11508160190541113,0.3,0
KNG,20220101,4,10.0,0.12426685703142445,0.3,0
KNG,20220101,5,1.0,0.2738524036812966,0.3038743403676285,0
KNG,20220101,5,1.1,0.17476349423112209,0.3038743403676285,0
KNG,20220101,5,1.2,0.19653806496265055,0.3038743403676285,0
KNG,20220101,5,1.3,0.3088096339124972,0.3038743403676285,1
KNG,20220101,5,1.4,0.17920936507157234,0.3038743403676285,0
KNG,20220101,5,1.5,0.07652995006496811,0.3038743403676285,0
KNG,20220101,5,1.6,0.053193247225657755,0.3038743403676285,0
KNG,20220101,5,1.7,0.19405818765972774,0.3038743403676285,0
KNG,20220101,5,1.8,0.09652289097887133,0.3038743403676285,0
KNG,20220101,5,1.9,0.1519807828115903,0.3038743403676285,0
KNG,20220101,5,2.0,0.40439755559026036,0.3038743403676285,1
KNG,20220101,5,2.1,0.2551005299018117,0.3038743403676285,0
KNG,20220101,5,2.2,0.21582781315326052,0.3038743403676285,0
KNG,20220101,5,2.3,0.32504737751263374,0.3038743403676285,1
KNG,20220101,5,2.4,0.34489804997922535,0.3038743403676285,1
KNG,20220101,5,2.5,0.2082427763989021,0.3038743403676285,0
KNG,20220101,5,2.6,0.10925894514679747,0.3038743403676285,0
KNG,20220101,5,2.7,0.152351739016736,0.3038743403676285,0
KNG,20220101,5,2.8,0.16104566936630396,0.3038743403676285,0
